GA 1;;;;;;;;;;;;;;;;;;;;;
iteration no;robot no;frequency [Hz];length [mm];dye [%mol];thickness [µm];curl length [mm];laser power [W];right side [down 0. up 1];waveplate angle [deg];L1 [cm/min];L2 [cm/min];L3 [cm/min];L4 [cm/min];L5 [cm/min];R1 [cm/min];R2 [cm/min];R3 [cm/min];R4 [cm/min];R5 [cm/min];fitness function (max average);params
1;1;0.6;18;0.2;90;3;0.4;0;52.5;0.03;0.02;0.02;0.02;0.02;-0.03;-0.03;-0.03;-0.03;-0.03;0.03;0600mHz_18mm_0%2_90um_3mm_0500mW_0_082deg
1;2;3;18;0.2;50;1;0.4;1;0;0;0;0;0;0;0;0;0;-0.01;0;0.002;3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg
1;3;1.7;18;0.2;50;3;1.6;1;37.5;0.14;0.19;0.23;0.15;0.18;-0.2;-0.21;-0.15;-0.14;-0.18;0.178;1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg
1;4;0.2;6;0.2;90;3;1.6;1;52.5;0.04;0.01;0.03;-0.05;0.04;-0.03;-0.11;-0.01;-0.01;0.03;0.026;0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg
1;5;0.5;12;1;50;1;2.4;1;52.5;-1.11;-0.74;-1.11;-1.31;-1.55;1.28;1;1.54;1.04;0.77;1.164;0500mHz_12mm_1%0_50um_1mm_3000mW_1_082deg
1;6;0.7;6;0.2;90;1;3.2;0;7.5;0;0.04;0.3;0.35;0.3;0.55;0.62;0.67;0.58;0.66;0.616;0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg
1;7;4.3;6;0.2;50;2;2.4;1;75;0.03;0.14;0.01;0;0.04;-0.27;-0.18;-0.21;-0.11;-0.04;0.162;4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg
1;8;2.5;18;0.2;50;3;0.4;0;7.5;0;0;0.01;-0.01;0;0;-0.06;0;0;-0.08;0.028;2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg
2;1;1.8;18;0.2;90;1;3.2;0;37.5;0;0;0.08;0.07;0.04;-0.05;-0.12;-0.04;-0.05;-0.03;0.058;1800mHz_18mm_0%2_90um_1mm_4000mW_0_067deg
2;2;1.7;6;0.2;50;1;1.6;1;7.5;0;0;0.06;0.09;0.02;0;-0.06;0;0;-0.01;0.034;1700mHz_06mm_0%2_50um_1mm_2000mW_1_037deg
2;3;0.6;18;1;90;1;2.4;1;60;0.48;1.06;0.16;0.69;1.17;0.16;1.1;1.63;-0.05;1.42;0.852;0600mHz_18mm_1%0_90um_1mm_3000mW_1_090deg
2;4;3.5;12;0.2;50;3;0.4;0;52.5;0;0;0.01;0.02;0.01;-0.04;-0.01;0;0;0;0.01;3500mHz_12mm_0%2_50um_3mm_0500mW_0_082deg
2;5;0.7;12;0.2;50;1;1.6;0;52.5;0.01;-0.04;0.02;-0.04;0.01;-0.19;-0.14;-0.22;-0.02;-0.14;0.142;0700mHz_12mm_0%2_50um_1mm_2000mW_0_082deg
2;6;3.6;6;1;90;1;2.4;1;7.5;0.67;0.68;0.31;0.01;0;0;0;0;0;0;0.334;3600mHz_06mm_1%0_90um_1mm_3000mW_1_037deg
2;7;0.6;18;0.2;90;3;1.6;0;37.5;0.05;0.02;0.08;0.16;0.49;-0.19;-0.1;-0.09;-0.19;-0.54;0.222;0600mHz_18mm_0%2_90um_3mm_2000mW_0_067deg
2;8;1.7;18;0.2;90;3;0.4;1;7.5;0;0;0.02;0;0;-0.07;0;-0.01;-0.04;-0.06;0.036;1700mHz_18mm_0%2_90um_3mm_0500mW_1_037deg
3;1;0.6;6;0.2;90;1;2.4;0;60;0.12;0.1;0.21;0.14;0.18;0.02;0;0.23;0.01;0.03;0.15;0600mHz_06mm_0%2_90um_1mm_3000mW_0_090deg
3;2;0.7;18;0.2;90;3;3.2;1;7.5;3.43;4.4;3.74;4.2;2.83;-0.97;-0.48;-0.74;0.03;-0.64;3.72;0700mHz_18mm_0%2_90um_3mm_4000mW_1_037deg
3;3;1.7;18;1;90;1;2.4;1;37.5;-0.11;0;0.04;-0.16;0;-0.04;0.01;0;0;0.13;0.046;1700mHz_18mm_1%0_90um_1mm_3000mW_1_067deg
3;4;3.6;6;0.2;50;2;1.6;1;7.5;0;0;0;0;0.04;0;0;0;-0.01;0;0.008;3600mHz_06mm_0%2_50um_2mm_2000mW_1_037deg
3;5;0.6;18;1;50;1;0.4;1;60;0;0;0;0;0;-0.01;0;0;0;0;0.002;0600mHz_18mm_1%0_50um_1mm_0500mW_1_090deg
3;6;0.5;12;0.2;90;1;2.4;1;52.5;-0.09;-0.13;0;-0.04;-0.11;0.05;0.01;0.07;0.01;0.08;0.074;0500mHz_12mm_0%2_90um_1mm_3000mW_1_082deg
