230506_0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg5_L1 a (speed [cm/min]) 0.04 b 1.3705810553448756 chi2, rank, singular values, rcond (array([0.01234355]), 2, array([1.38473037, 0.2872661 ]), 1.851852005074761e-13)
230506_0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg5_L2 a (speed [cm/min]) 0.01 b 1.3917028782198895 chi2, rank, singular values, rcond (array([0.00315928]), 2, array([1.38466954, 0.28755914]), 1.8540724511240114e-13)
230506_0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg5_L3 a (speed [cm/min]) 0.03 b 1.6890933892244486 chi2, rank, singular values, rcond (array([0.00336214]), 2, array([1.38470544, 0.28738622]), 1.8496315590255108e-13)
230506_0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg5_L4 a (speed [cm/min]) -0.05 b 1.8657134302170597 chi2, rank, singular values, rcond (array([0.009415]), 2, array([1.38469312, 0.28744556]), 1.858513343222512e-13)
230506_0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg5_L5 a (speed [cm/min]) 0.04 b 1.6658116176713882 chi2, rank, singular values, rcond (array([0.01116147]), 2, array([1.38475585, 0.28714326]), 1.8540724511240114e-13)
230506_0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg5_R1 a (speed [cm/min]) -0.03 b 1.8866386580128307 chi2, rank, singular values, rcond (array([0.00915178]), 2, array([1.38475035, 0.28716977]), 1.865174681370263e-13)
230506_0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg5_R2 a (speed [cm/min]) -0.11 b 1.7641016474763516 chi2, rank, singular values, rcond (array([0.00430191]), 2, array([1.38481037, 0.2868802 ]), 1.8607337892717624e-13)
230506_0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg5_R3 a (speed [cm/min]) -0.01 b 1.8322736965446285 chi2, rank, singular values, rcond (array([0.00421065]), 2, array([1.38469548, 0.28743423]), 1.858513343222512e-13)
230506_0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg5_R4 a (speed [cm/min]) -0.01 b 1.8054057784605855 chi2, rank, singular values, rcond (array([0.00361709]), 2, array([1.38478402, 0.28700735]), 1.8562928971732617e-13)
230506_0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg5_R5 a (speed [cm/min]) 0.03 b 1.9578984356372384 chi2, rank, singular values, rcond (array([0.00517817]), 2, array([1.38474783, 0.28718191]), 1.8562928971732617e-13)
230506_0500mHz_12mm_1%0_50um_1mm_3000mW_1_082deg5_L1 a (speed [cm/min]) -1.11 b 2.165973974606127 chi2, rank, singular values, rcond (array([0.09804127]), 2, array([1.38352141, 0.2930333 ]), 1.6631140908884845e-13)
230506_0500mHz_12mm_1%0_50um_1mm_3000mW_1_082deg5_L2 a (speed [cm/min]) -0.74 b 3.0976706779442544 chi2, rank, singular values, rcond (array([0.08623788]), 2, array([1.38474457, 0.28719764]), 1.794120407794253e-13)
230506_0500mHz_12mm_1%0_50um_1mm_3000mW_1_082deg5_L3 a (speed [cm/min]) -1.11 b 3.247606751512974 chi2, rank, singular values, rcond (array([0.11729685]), 2, array([1.38468405, 0.28748929]), 1.8118839761882555e-13)
230506_0500mHz_12mm_1%0_50um_1mm_3000mW_1_082deg5_L4 a (speed [cm/min]) -1.31 b 2.9802319276988416 chi2, rank, singular values, rcond (array([0.19242224]), 2, array([1.38272294, 0.29677814]), 1.6187051699034782e-13)
