2023-05-06 19:51:41
frequency length dye thickness period laserPower tail waveplate fitness
0.6 18.0 0.2 90.0 3.0 0.5 0.0 82.5 0.030
3.0 18.0 0.2 50.0 1.0 0.5 1.0 30.0 0.002
1.7 18.0 0.2 50.0 3.0 2.0 1.0 67.5 0.178
0.2 6.0 0.2 90.0 3.0 2.0 1.0 82.5 0.026
0.5 12.0 1.0 50.0 1.0 3.0 1.0 82.5 1.164
0.7 6.0 0.2 90.0 1.0 4.0 0.0 37.5 0.616
4.3 6.0 0.2 50.0 2.0 3.0 1.0 105.0 0.162
2.5 18.0 0.2 50.0 3.0 0.5 0.0 37.5 0.028

2023-05-07 15:24:24
frequency length dye thickness period laserPower tail waveplate fitness
1.8 18.0 0.2 90.0 1.0 4.0 0.0 67.5 0.058
1.7 6.0 0.2 50.0 1.0 2.0 1.0 37.5 0.034
0.6 18.0 1.0 90.0 1.0 3.0 1.0 90.0 0.852
3.5 12.0 0.2 50.0 3.0 0.5 0.0 82.5 0.010
0.7 12.0 0.2 50.0 1.0 2.0 0.0 82.5 0.142
3.6 6.0 1.0 90.0 1.0 3.0 1.0 37.5 0.334
0.6 18.0 0.2 90.0 3.0 2.0 0.0 67.5 0.222
1.7 18.0 0.2 90.0 3.0 0.5 1.0 37.5 0.036

2023-05-08 00:40:13
frequency length dye thickness period laserPower tail waveplate fitness
0.6 6.0 0.2 90.0 1.0 3.0 0.0 90.0 0.150
0.7 18.0 0.2 90.0 3.0 4.0 1.0 37.5 3.720
1.7 18.0 1.0 90.0 1.0 3.0 1.0 67.5 0.046
3.6 6.0 0.2 50.0 2.0 2.0 1.0 37.5 0.008
0.6 18.0 1.0 50.0 1.0 0.5 1.0 90.0 0.002
0.5 12.0 0.2 90.0 1.0 3.0 1.0 82.5 0.074
0.6 6.0 1.0 90.0 1.0 3.0 1.0 37.5 1.950
3.6 18.0 0.2 50.0 1.0 3.0 1.0 90.0 0.030

2023-05-08 20:34:51
frequency length dye thickness period laserPower tail waveplate fitness
0.6 6.0 0.2 90.0 1.0 2.0 1.0 82.5 0.002
0.6 18.0 1.0 90.0 3.0 1.0 0.0 37.5 0.032
0.7 18.0 1.0 50.0 1.0 4.0 1.0 37.5 4.210
0.5 12.0 0.2 90.0 1.0 1.0 1.0 82.5 0.006
0.6 6.0 0.2 90.0 1.0 4.0 1.0 37.5 0.062
0.7 18.0 1.0 90.0 1.0 4.0 1.0 37.5 2.608
0.6 18.0 1.0 90.0 1.0 2.0 1.0 82.5 0.032
0.5 12.0 1.0 50.0 3.0 3.0 1.0 90.0 0.476

2024-01-02 01:31:19
frequency length dye thickness period laserPower tail waveplate fitness
0.7 18.0 0.2 50.0 3.0 4.0 1.0 37.5 0.604
0.7 6.0 1.0 90.0 1.0 1.5 1.0 37.5 0.148
0.7 18.0 1.0 90.0 3.0 4.0 1.0 37.5 3.422
1.1 18.0 1.0 90.0 1.0 4.0 1.0 37.5 1.112
2.4 18.0 1.0 90.0 1.0 3.0 1.0 90.0 0.006
0.7 18.0 1.0 90.0 2.0 4.0 1.0 37.5 10.024
0.7 18.0 0.2 50.0 1.0 4.0 1.0 37.5 0.266
0.7 6.0 0.2 90.0 1.0 4.0 1.0 37.5 0.046

